dropped_feature,step,total_remaining_after_this_step
AMT_CREDIT,feature_drop_high_corr_removal,396
APARTMENTS_MEDI,feature_drop_high_corr_removal,396
BASEMENTAREA_MEDI,feature_drop_high_corr_removal,396
BUREAU_AMT_CREDIT_SUM_LIMIT_SUM,feature_drop_high_corr_removal,396
BUREAU_BUREAU_BALANCE_MONTHS_BALANCE_MEAN_SUM,feature_drop_high_corr_removal,396
BUREAU_CREDIT_ACTIVE_ACTIVE_COUNT_NORM,feature_drop_high_corr_removal,396
BUREAU_CREDIT_CURRENCY_CURRENCY 1_COUNT,feature_drop_high_corr_removal,396
BUREAU_ROW_COUNT,feature_drop_high_corr_removal,396
ELEVATORS_MEDI,feature_drop_high_corr_removal,396
ELEVATORS_MODE,feature_drop_high_corr_removal,396
ENTRANCES_MEDI,feature_drop_high_corr_removal,396
FLOORSMAX_MEDI,feature_drop_high_corr_removal,396
FLOORSMAX_MODE,feature_drop_high_corr_removal,396
INSTALLMENTS_AMT_INSTALMENT_MEAN,feature_drop_high_corr_removal,396
INSTALLMENTS_AMT_INSTALMENT_SUM,feature_drop_high_corr_removal,396
INSTALLMENTS_AMT_PAYMENT_MAX,feature_drop_high_corr_removal,396
INSTALLMENTS_DAYS_ENTRY_PAYMENT_MAX,feature_drop_high_corr_removal,396
INSTALLMENTS_DAYS_INSTALMENT_MEAN,feature_drop_high_corr_removal,396
INSTALLMENTS_DAYS_INSTALMENT_MIN,feature_drop_high_corr_removal,396
INSTALLMENTS_DAYS_INSTALMENT_SUM,feature_drop_high_corr_removal,396
LANDAREA_MEDI,feature_drop_high_corr_removal,396
LIVINGAREA_MEDI,feature_drop_high_corr_removal,396
NONLIVINGAREA_MEDI,feature_drop_high_corr_removal,396
OBS_60_CNT_SOCIAL_CIRCLE,feature_drop_high_corr_removal,396
POS_CASH_CNT_INSTALMENT_MAX,feature_drop_high_corr_removal,396
POS_CASH_ROW_COUNT,feature_drop_high_corr_removal,396
PREV_APP_AMT_APPLICATION_MAX,feature_drop_high_corr_removal,396
PREV_APP_AMT_APPLICATION_SUM,feature_drop_high_corr_removal,396
PREV_APP_AMT_CREDIT_MAX,feature_drop_high_corr_removal,396
PREV_APP_AMT_GOODS_PRICE_SUM,feature_drop_high_corr_removal,396
PREV_APP_CODE_REJECT_REASON_CLIENT_COUNT_NORM,feature_drop_high_corr_removal,396
PREV_APP_DAYS_DECISION_MIN,feature_drop_high_corr_removal,396
PREV_APP_DAYS_FIRST_DUE_SUM,feature_drop_high_corr_removal,396
PREV_APP_DAYS_LAST_DUE_1ST_VERSION_MAX,feature_drop_high_corr_removal,396
PREV_APP_FLAG_LAST_APPL_PER_CONTRACT_Y_COUNT,feature_drop_high_corr_removal,396
PREV_APP_NAME_CONTRACT_TYPE_CASH LOANS_COUNT_NORM,feature_drop_high_corr_removal,396
PREV_APP_NAME_GOODS_CATEGORY_XNA_COUNT_NORM,feature_drop_high_corr_removal,396
PREV_APP_NAME_PAYMENT_TYPE_CASH THROUGH THE BANK_COUNT_NORM,feature_drop_high_corr_removal,396
PREV_APP_NFLAG_LAST_APPL_IN_DAY_SUM,feature_drop_high_corr_removal,396
PREV_APP_ROW_COUNT,feature_drop_high_corr_removal,396
YEARS_BEGINEXPLUATATION_AVG,feature_drop_high_corr_removal,396
YEARS_BEGINEXPLUATATION_MEDI,feature_drop_high_corr_removal,396
