dropped_feature,step,total_remaining_after_this_step
OWN_CAR_AGE,high_missing_removal,695
YEARS_BUILD_AVG,high_missing_removal,695
COMMONAREA_AVG,high_missing_removal,695
FLOORSMIN_AVG,high_missing_removal,695
LIVINGAPARTMENTS_AVG,high_missing_removal,695
NONLIVINGAPARTMENTS_AVG,high_missing_removal,695
YEARS_BUILD_MODE,high_missing_removal,695
COMMONAREA_MODE,high_missing_removal,695
FLOORSMIN_MODE,high_missing_removal,695
LIVINGAPARTMENTS_MODE,high_missing_removal,695
NONLIVINGAPARTMENTS_MODE,high_missing_removal,695
YEARS_BUILD_MEDI,high_missing_removal,695
COMMONAREA_MEDI,high_missing_removal,695
FLOORSMIN_MEDI,high_missing_removal,695
LIVINGAPARTMENTS_MEDI,high_missing_removal,695
NONLIVINGAPARTMENTS_MEDI,high_missing_removal,695
FONDKAPREMONT_MODE,high_missing_removal,695
BUREAU_AMT_ANNUITY_MEAN,high_missing_removal,695
BUREAU_AMT_ANNUITY_MAX,high_missing_removal,695
BUREAU_AMT_ANNUITY_MIN,high_missing_removal,695
BUREAU_BUREAU_BALANCE_MONTHS_BALANCE_MEAN_MEAN,high_missing_removal,695
BUREAU_BUREAU_BALANCE_MONTHS_BALANCE_MEAN_MAX,high_missing_removal,695
BUREAU_BUREAU_BALANCE_MONTHS_BALANCE_MEAN_MIN,high_missing_removal,695
BUREAU_BUREAU_BALANCE_MONTHS_BALANCE_MAX_MEAN,high_missing_removal,695
BUREAU_BUREAU_BALANCE_MONTHS_BALANCE_MAX_MAX,high_missing_removal,695
BUREAU_BUREAU_BALANCE_MONTHS_BALANCE_MAX_MIN,high_missing_removal,695
BUREAU_BUREAU_BALANCE_MONTHS_BALANCE_MIN_MEAN,high_missing_removal,695
BUREAU_BUREAU_BALANCE_MONTHS_BALANCE_MIN_MAX,high_missing_removal,695
BUREAU_BUREAU_BALANCE_MONTHS_BALANCE_MIN_MIN,high_missing_removal,695
BUREAU_BUREAU_BALANCE_MONTHS_BALANCE_SUM_MEAN,high_missing_removal,695
BUREAU_BUREAU_BALANCE_MONTHS_BALANCE_SUM_MAX,high_missing_removal,695
BUREAU_BUREAU_BALANCE_MONTHS_BALANCE_SUM_MIN,high_missing_removal,695
BUREAU_BUREAU_BALANCE_ROW_COUNT_MEAN,high_missing_removal,695
BUREAU_BUREAU_BALANCE_ROW_COUNT_MAX,high_missing_removal,695
BUREAU_BUREAU_BALANCE_ROW_COUNT_MIN,high_missing_removal,695
BUREAU_BUREAU_BALANCE_STATUS_0_COUNT_MEAN,high_missing_removal,695
BUREAU_BUREAU_BALANCE_STATUS_0_COUNT_MAX,high_missing_removal,695
BUREAU_BUREAU_BALANCE_STATUS_0_COUNT_MIN,high_missing_removal,695
BUREAU_BUREAU_BALANCE_STATUS_0_COUNT_NORM_MEAN,high_missing_removal,695
BUREAU_BUREAU_BALANCE_STATUS_0_COUNT_NORM_MAX,high_missing_removal,695
BUREAU_BUREAU_BALANCE_STATUS_0_COUNT_NORM_MIN,high_missing_removal,695
BUREAU_BUREAU_BALANCE_STATUS_1_COUNT_MEAN,high_missing_removal,695
BUREAU_BUREAU_BALANCE_STATUS_1_COUNT_MAX,high_missing_removal,695
BUREAU_BUREAU_BALANCE_STATUS_1_COUNT_MIN,high_missing_removal,695
BUREAU_BUREAU_BALANCE_STATUS_1_COUNT_NORM_MEAN,high_missing_removal,695
BUREAU_BUREAU_BALANCE_STATUS_1_COUNT_NORM_MAX,high_missing_removal,695
BUREAU_BUREAU_BALANCE_STATUS_1_COUNT_NORM_MIN,high_missing_removal,695
BUREAU_BUREAU_BALANCE_STATUS_2_COUNT_MEAN,high_missing_removal,695
BUREAU_BUREAU_BALANCE_STATUS_2_COUNT_MAX,high_missing_removal,695
BUREAU_BUREAU_BALANCE_STATUS_2_COUNT_MIN,high_missing_removal,695
BUREAU_BUREAU_BALANCE_STATUS_2_COUNT_NORM_MEAN,high_missing_removal,695
BUREAU_BUREAU_BALANCE_STATUS_2_COUNT_NORM_MAX,high_missing_removal,695
BUREAU_BUREAU_BALANCE_STATUS_2_COUNT_NORM_MIN,high_missing_removal,695
BUREAU_BUREAU_BALANCE_STATUS_3_COUNT_MEAN,high_missing_removal,695
BUREAU_BUREAU_BALANCE_STATUS_3_COUNT_MAX,high_missing_removal,695
BUREAU_BUREAU_BALANCE_STATUS_3_COUNT_MIN,high_missing_removal,695
BUREAU_BUREAU_BALANCE_STATUS_3_COUNT_NORM_MEAN,high_missing_removal,695
BUREAU_BUREAU_BALANCE_STATUS_3_COUNT_NORM_MAX,high_missing_removal,695
BUREAU_BUREAU_BALANCE_STATUS_3_COUNT_NORM_MIN,high_missing_removal,695
BUREAU_BUREAU_BALANCE_STATUS_4_COUNT_MEAN,high_missing_removal,695
BUREAU_BUREAU_BALANCE_STATUS_4_COUNT_MAX,high_missing_removal,695
BUREAU_BUREAU_BALANCE_STATUS_4_COUNT_MIN,high_missing_removal,695
